epoca,split,mse_padronizado,marco_runs
79,treino,0.4384912668841734,40
79,validacao,0.6805599281909012,40
79,teste,0.7060514946728941,40
80,treino,0.43419638885434764,40
80,validacao,0.683188631607693,40
80,teste,0.7122917296364695,40
81,treino,0.43039315683387663,40
81,validacao,0.6922531487387414,40
81,teste,0.7161495939562181,40
82,treino,0.42599045410497044,40
82,validacao,0.6918494501178283,40
82,teste,0.7186131537238013,40
83,treino,0.4213579408222872,40
83,validacao,0.6933363395994326,40
83,teste,0.7236660306571735,40
84,treino,0.4173226727966847,40
84,validacao,0.6974483866861187,40
84,teste,0.7281342516936059,40
85,treino,0.41400125525132286,40
85,validacao,0.7024092158171822,40
85,teste,0.7342867735393942,40
86,treino,0.4108192876765053,40
86,validacao,0.7061065361869597,40
86,teste,0.7358145478571879,40
87,treino,0.40612604450098866,40
87,validacao,0.706569369857272,40
87,teste,0.7377621934408339,40
88,treino,0.40229986174010796,40
88,validacao,0.7084493287452057,40
88,teste,0.7394440236797944,40
89,treino,0.399251576997897,40
89,validacao,0.711961617293591,40
89,teste,0.7413989993432472,40
90,treino,0.39567128457666795,40
90,validacao,0.7122076352725007,40
90,teste,0.7478241734060673,40
91,treino,0.39145303587704366,40
91,validacao,0.7217411045755958,40
91,teste,0.7501189304783563,40
92,treino,0.38928217283877004,40
92,validacao,0.7135145751852656,40
92,teste,0.7494865277722979,40
93,treino,0.38900543581974095,40
93,validacao,0.72369360786278,40
93,teste,0.7572158479115139,40
94,treino,0.3868460947806667,40
94,validacao,0.7316499709733278,40
94,teste,0.7653376817022007,40
95,treino,0.38081604134119207,40
95,validacao,0.7269356423084264,40
95,teste,0.7577589315007955,40
96,treino,0.37601452955178644,40
96,validacao,0.7299234545961214,40
96,teste,0.7621245472948024,40
97,treino,0.3757822773216617,40
97,validacao,0.7283718716734325,40
97,teste,0.7563142745898412,40
98,treino,0.37270682986447795,40
98,validacao,0.7344522289874712,40
98,teste,0.7718962806148674,40
99,treino,0.3650841117606465,40
99,validacao,0.7387461200855481,40
99,teste,0.7732727236870657,40
100,treino,0.36393942707115606,40
100,validacao,0.7391988910168892,40
100,teste,0.7756025873036637,40
101,treino,0.36566925311666876,40
101,validacao,0.7497559355619341,40
101,teste,0.7833837749108826,40
102,treino,0.3621510484616636,40
102,validacao,0.7430579081165023,40
102,teste,0.780178880729919,40
103,treino,0.3538567707529782,40
103,validacao,0.7468335912491669,40
103,teste,0.7738717460443141,40
104,treino,0.35725744609489846,40
104,validacao,0.7422425570507073,40
104,teste,0.7720639461727207,40
105,treino,0.3602600654844572,40
105,validacao,0.747596436140762,40
105,teste,0.7799396835724228,40
106,treino,0.348180224630193,40
106,validacao,0.7511511343502218,40
106,teste,0.789769272792818,40
107,treino,0.3493924185372184,40
107,validacao,0.7555374161288637,40
107,teste,0.7956198470690289,40
108,treino,0.3563778514243354,40
108,validacao,0.762276824720002,40
108,teste,0.8045307742198964,40
109,treino,0.3430161786434002,40
109,validacao,0.7600830471120008,40
109,teste,0.7924587234442625,40
110,treino,0.34077006256798165,40
110,validacao,0.7596058266426101,40
110,teste,0.7821160619353257,40
111,treino,0.35347201741758627,40
111,validacao,0.7685682786332273,40
111,teste,0.7991043801065466,40
112,treino,0.3360730690080098,40
112,validacao,0.7616625078435267,40
112,teste,0.804789294787663,40
113,treino,0.34115088721543896,40
113,validacao,0.7632432806478103,40
113,teste,0.8150305378490725,40
114,treino,0.3443124781937608,40
114,validacao,0.7693548439831326,40
114,teste,0.8202150433706219,40
115,treino,0.3251260279876312,40
115,validacao,0.76903136802163,40
115,teste,0.8014948446479404,40
116,treino,0.3388831939033692,40
116,validacao,0.7787579782097026,40
116,teste,0.8084548545351922,40
117,treino,0.33032992348579465,40
117,validacao,0.7755259334860108,40
117,teste,0.8244464186736638,40
118,treino,0.32361792278993945,40
118,validacao,0.7627796583842202,40
118,teste,0.8236084711441163,40
119,treino,0.333575159778043,40
119,validacao,0.7671559496247973,40
119,teste,0.8335566596717351,40
120,treino,0.3159299031084493,40
120,validacao,0.771266932489212,40
120,teste,0.8191454590477102,40
121,treino,0.3201856345981119,40
121,validacao,0.784523458732021,40
121,teste,0.8276097631859769,40
122,treino,0.3196816139955754,40
122,validacao,0.7838001585337563,40
122,teste,0.8402490156404382,40
123,treino,0.3095084424270473,40
123,validacao,0.7741621650794165,40
123,teste,0.8412497297741415,40
124,treino,0.31975965914078436,40
124,validacao,0.7724251155410782,40
124,teste,0.8490559128826344,40
125,treino,0.30576404245428085,40
125,validacao,0.7822419119324824,40
125,teste,0.8374470049796642,40
