alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_p90_m,gyro_x_integral_rad_cos,IMU e atitude,0.026375144720077515,2.6375144720077515,8,seno/cosseno
delta_depth_p90_m,gyro_y_integral_rad_sin,IMU e atitude,0.03930569067597389,3.930569067597389,3,seno/cosseno
delta_depth_p90_m,gyro_y_integral_rad_cos,IMU e atitude,0.013016938231885433,1.3016938231885433,44,seno/cosseno
delta_depth_p90_m,gyro_z_integral_rad_sin,IMU e atitude,0.015683922916650772,1.5683922916650772,34,seno/cosseno
delta_depth_p90_m,gyro_z_integral_rad_cos,IMU e atitude,0.021696453914046288,2.1696453914046288,14,seno/cosseno
delta_depth_p90_m,pan_comp_delta_rad_sin,Comandos reativos,0.008643962442874908,0.8643962442874908,52,seno/cosseno
delta_depth_p90_m,pan_comp_delta_rad_cos,Comandos reativos,0.028102964162826538,2.810296416282654,6,seno/cosseno
delta_depth_close_2m_pp,dt_s,Sincronizacao,0.018847789615392685,1.8847789615392685,21,seno/cosseno
delta_depth_close_2m_pp,depth_age_s,Sincronizacao,0.017607994377613068,1.7607994377613068,24,seno/cosseno
delta_depth_close_2m_pp,depth_dt_s,Sincronizacao,0.028362132608890533,2.8362132608890533,6,seno/cosseno
delta_depth_close_2m_pp,delta_x_m,Movimento,0.02364060841500759,2.364060841500759,13,seno/cosseno
delta_depth_close_2m_pp,delta_y_m,Movimento,0.01696040853857994,1.696040853857994,27,seno/cosseno
delta_depth_close_2m_pp,delta_z_m,Movimento,0.0239582397043705,2.39582397043705,12,seno/cosseno
delta_depth_close_2m_pp,delta_gyro_x_rad_s,IMU e atitude,0.014926687814295292,1.4926687814295292,31,seno/cosseno
delta_depth_close_2m_pp,delta_gyro_y_rad_s,IMU e atitude,0.032717034220695496,3.2717034220695496,4,seno/cosseno
delta_depth_close_2m_pp,delta_gyro_z_rad_s,IMU e atitude,0.007501929998397827,0.7501929998397827,52,seno/cosseno
delta_depth_close_2m_pp,delta_accel_x_m_s2,IMU e atitude,0.028346793726086617,2.8346793726086617,7,seno/cosseno
delta_depth_close_2m_pp,delta_accel_y_m_s2,IMU e atitude,0.026574399322271347,2.6574399322271347,11,seno/cosseno
delta_depth_close_2m_pp,delta_accel_z_m_s2,IMU e atitude,0.011360433883965015,1.1360433883965015,43,seno/cosseno
delta_depth_close_2m_pp,delta_smooth_vx_m_s,Movimento,0.01727854460477829,1.727854460477829,26,seno/cosseno
delta_depth_close_2m_pp,delta_smooth_vy_m_s,Movimento,0.023613374680280685,2.3613374680280685,14,seno/cosseno
delta_depth_close_2m_pp,delta_obstacle_risk,Comandos reativos,0.010089286603033543,1.0089286603033543,47,seno/cosseno
delta_depth_close_2m_pp,delta_avoid_lateral_body,Comandos reativos,0.019186440855264664,1.9186440855264664,19,seno/cosseno
delta_depth_close_2m_pp,delta_avoid_brake,Comandos reativos,0.014040225185453892,1.4040225185453892,34,seno/cosseno
delta_depth_close_2m_pp,flow_valid_points,Optical flow e risco,0.02770262584090233,2.770262584090233,8,seno/cosseno
delta_depth_close_2m_pp,flow_active_points,Optical flow e risco,0.0160116795450449,1.60116795450449,28,seno/cosseno
delta_depth_close_2m_pp,flow_track_retention_pct,Optical flow e risco,0.020164769142866135,2.0164769142866135,17,seno/cosseno
delta_depth_close_2m_pp,flow_mean_x_px,Optical flow e risco,0.011889168061316013,1.1889168061316013,41,seno/cosseno
delta_depth_close_2m_pp,flow_mean_y_px,Optical flow e risco,0.01899394765496254,1.899394765496254,20,seno/cosseno
delta_depth_close_2m_pp,flow_mag_mean_px,Optical flow e risco,0.017503485083580017,1.7503485083580017,25,seno/cosseno
delta_depth_close_2m_pp,flow_mag_p90_px,Optical flow e risco,0.02670220658183098,2.670220658183098,9,seno/cosseno
delta_depth_close_2m_pp,radial_flow_mean_px,Optical flow e risco,0.013281703926622868,1.3281703926622868,38,seno/cosseno
delta_depth_close_2m_pp,radial_flow_p90_px,Optical flow e risco,0.014946234412491322,1.4946234412491322,30,seno/cosseno
delta_depth_close_2m_pp,point_risk_mean_delta_basis,Optical flow e risco,0.008906809613108635,0.8906809613108635,50,seno/cosseno
delta_depth_close_2m_pp,point_risk_p75_delta_basis,Optical flow e risco,0.026681285351514816,2.6681285351514816,10,seno/cosseno
delta_depth_close_2m_pp,img_delta_mean,Diferenca de imagem,0.008434420451521873,0.8434420451521873,51,seno/cosseno
delta_depth_close_2m_pp,img_delta_std,Diferenca de imagem,0.038316357880830765,3.8316357880830765,2,seno/cosseno
delta_depth_close_2m_pp,img_delta_abs_mean,Diferenca de imagem,0.011703148484230042,1.1703148484230042,42,seno/cosseno
delta_depth_close_2m_pp,img_delta_abs_p90,Diferenca de imagem,0.01126089971512556,1.126089971512556,44,seno/cosseno
delta_depth_close_2m_pp,flow_vec_rel_std,Optical flow e risco,0.01804746873676777,1.8047468736767769,22,seno/cosseno
delta_depth_close_2m_pp,flow_vec_xy_mean,Optical flow e risco,0.014294670894742012,1.4294670894742012,33,seno/cosseno
delta_depth_close_2m_pp,flow_vec_radial_mean,Optical flow e risco,0.009284555912017822,0.9284555912017822,49,seno/cosseno
delta_depth_close_2m_pp,flow_vec_risk_mean,Optical flow e risco,0.012003201059997082,1.2003201059997082,40,seno/cosseno
