modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,validacao,delta_depth_close_2m_pp,1.1452074051372405,1.7519470957694427,0.5496227003113597,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,1.120390941079035,0.02481646405820559,2.2149825697720433
MLP,validacao,delta_depth_close_5m_pp,1.3777777285844102,1.805506399239449,0.5235164346330763,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,1.3509588505785146,0.026818878005895552,1.985173567234193
MLP,validacao,delta_depth_close_10m_pp,0.8574881095582146,1.170179963358682,0.6253563959736756,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.8709211434408002,-0.013433033882585543,-1.542393818746305
MLP,teste,delta_depth_p10_m,0.08789919889011646,0.2267634970075034,0.3262246103724265,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.09112127768098484,-0.003222078790868374,-3.536033375375679
MLP,teste,delta_depth_p50_m,0.18263064204972793,0.26990224738006025,0.17624844467568299,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.1751227571153419,0.007507884934386033,4.287212614772322
MLP,teste,delta_depth_p90_m,0.9116572288565952,1.571323855583125,-0.08138244563217166,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.9258965420762096,-0.014239313219614469,-1.5378946321242923
MLP,teste,delta_depth_close_2m_pp,1.0464738217771345,1.575579772231983,0.2548102919654248,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,1.0586362442217192,-0.012162422444584653,-1.1488764446683135
MLP,teste,delta_depth_close_5m_pp,1.7649420021885778,2.7632270469494262,0.282047874384507,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,1.7378282747955924,0.027113727392985343,1.5602075179824384
MLP,teste,delta_depth_close_10m_pp,0.831352857097722,1.1394755537063685,0.4512624202333418,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.828562366184958,0.0027904909127639543,0.33678706958566346
MLP,validacao,delta_depth_p10_m,0.06548040122999055,0.09627988278302796,0.2731550126371394,Sem IMU e atitude,IMU e atitude,32,21,64,0.062326611546142004,0.0031537896838485444,5.060101304422289
MLP,validacao,delta_depth_p50_m,0.21379510845769853,0.30140612402295874,0.3045086764817097,Sem IMU e atitude,IMU e atitude,32,21,64,0.19989270995206693,0.013902398505631602,6.954930226802826
MLP,validacao,delta_depth_p90_m,1.1675865478181282,3.305113198187172,-0.02692129990394258,Sem IMU e atitude,IMU e atitude,32,21,64,1.159770854288838,0.007815693529290124,0.6738998053268586
MLP,validacao,delta_depth_close_2m_pp,1.1541217831548933,1.7404530569012402,0.5743783334052674,Sem IMU e atitude,IMU e atitude,32,21,64,1.1361823853793527,0.017939397775540655,1.5789188431706749
MLP,validacao,delta_depth_close_5m_pp,1.4510285296655425,1.9197789182726883,0.413189373328127,Sem IMU e atitude,IMU e atitude,32,21,64,1.389594420885174,0.06143410878036848,4.421010034081372
MLP,validacao,delta_depth_close_10m_pp,0.9343988458179999,1.2538195884482013,0.38505587860157875,Sem IMU e atitude,IMU e atitude,32,21,64,0.8821392088590073,0.052259636958992606,5.924193872596053
